Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
edm,0.74,0.82,-6.695,0.0,0.0183,5.04e-06,0.313,0.354,126.042
edm,0.663,0.849,-4.462,0.0,0.0791,1.2e-06,0.192,0.722,123.992
edm,0.651,0.82,-5.451,1.0,0.0102,0.00601,0.0649,0.377,127.956
edm,0.723,0.771,-5.407,1.0,0.045,0.0,0.0809,0.533,110.048
edm,0.74,0.622,-4.608,0.0,0.0357,4.85e-05,0.356,0.556,104.966
edm,0.678,0.859,-5.778,1.0,0.0078,0.0,0.0915,0.541,120.98
edm,0.902,0.816,-2.999,0.0,0.212,0.0,0.082,0.912,104.003
edm,0.74,0.709,-5.573,0.0,0.0536,0.0,0.11,0.69,121.998
edm,0.335,0.865,-4.672,0.0,0.0027,0.276,0.107,0.411,149.85
edm,0.618,0.643,-5.194,0.0,0.00154,1.38e-06,0.158,0.453,140.017
edm,0.729,0.619,-6.155,0.0,0.0451,0.0,0.0953,0.623,123.061
edm,0.665,0.727,-6.57,0.0,0.032,1.02e-05,0.0873,0.66,101.976
edm,0.771,0.826,-3.978,1.0,0.142,0.03,0.145,0.185,100.012
edm,0.449,0.797,-7.804,1.0,0.00266,0.000666,0.119,0.106,138.03
edm,0.436,0.544,-7.268,0.0,0.543,0.00489,0.17,0.313,169.955
edm,0.57,0.797,-2.954,1.0,0.00476,0.00833,0.11,0.212,149.925
edm,0.676,0.866,-6.717,0.0,0.0579,0.0574,0.274,0.292,123.956
edm,0.507,0.942,-3.131,0.0,0.000665,0.496,0.261,0.366,149.874
edm,0.682,0.855,-3.282,1.0,0.0564,0.0,0.101,0.304,124.005
edm,0.647,0.932,-3.515,1.0,0.00383,1.5e-06,0.0574,0.374,114.991
edm,0.824,0.745,-5.49,0.0,0.0467,3.29e-05,0.198,0.888,125.013
edm,0.483,0.917,-2.528,1.0,0.00235,0.000347,0.119,0.323,129.035
edm,0.835,0.88,-7.972,1.0,0.0246,0.165,0.0688,0.752,122.036
edm,0.407,0.885,-4.15,0.0,0.0498,2.84e-06,0.346,0.463,75.995
edm,0.632,0.575,-6.478,1.0,0.0225,1.81e-06,0.104,0.188,90.037
edm,0.746,0.969,-5.201,1.0,0.0319,0.0533,0.0765,0.849,122.99
edm,0.886,0.84,-3.386,1.0,0.0164,0.00622,0.329,0.203,123.035
edm,0.804,0.922,-5.678,1.0,0.00114,0.221,0.0771,0.773,126.012
edm,0.66,0.652,-4.747,1.0,0.00259,0.0,0.0673,0.167,127.977
edm,0.881,0.883,-5.494,1.0,0.0195,0.148,0.0825,0.966,124.016
edm,0.51,0.846,-4.595,1.0,0.0101,0.0,0.208,0.475,139.927
edm,0.714,0.798,-4.239,0.0,0.00248,0.000678,0.103,0.659,119.017
edm,0.527,0.763,-7.44,1.0,0.0409,1.13e-06,0.0969,0.372,125.997
edm,0.617,0.514,-7.099,1.0,0.0154,0.0,0.118,0.365,81.067
edm,0.407,0.579,-6.513,0.0,0.000499,0.000121,0.161,0.202,173.9
edm,0.652,0.749,-5.576,1.0,0.25,3.45e-05,0.4,0.221,121.91
edm,0.705,0.838,-3.69,1.0,0.00449,0.00037,0.0926,0.219,124.03
edm,0.643,0.714,-5.504,0.0,0.00444,2.85e-06,0.146,0.205,120.027
edm,0.549,0.88,-6.757,0.0,0.000872,0.9,0.09,0.0592,128.016
edm,0.828,0.687,-6.24,0.0,0.0843,0.0074,0.124,0.208,119.006
edm,0.802,0.918,-3.231,0.0,1.66e-06,0.754,0.323,0.502,128.019
edm,0.72,0.763,-4.068,0.0,0.406,0.0,0.18,0.742,101.965
edm,0.631,0.694,-9.185,0.0,0.0342,0.774,0.1,0.114,122.0
edm,0.64,0.533,-6.596,1.0,0.119,0.0,0.0864,0.515,99.968
edm,0.669,0.622,-2.08,0.0,0.0327,0.0361,0.0841,0.11,174.029
edm,0.672,0.781,-8.239,1.0,0.0176,0.0137,0.0208,0.76,127.472
edm,0.781,0.854,-7.411,0.0,0.0159,0.0493,0.15,0.493,100.043
edm,0.751,0.905,-3.983,0.0,0.0215,0.919,0.277,0.41,124.013
