Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
edm,0.592,0.873,-5.65,1.0,0.0723,0.00986,0.142,0.515,122.015
edm,0.436,0.544,-7.268,0.0,0.543,0.00489,0.17,0.313,169.955
edm,0.569,0.695,-5.808,1.0,0.00148,0.00221,0.376,0.506,125.098
edm,0.402,0.755,-4.837,1.0,0.143,0.0,0.357,0.622,108.17
edm,0.52,0.823,-5.152,1.0,0.000364,0.289,0.14,0.158,127.981
edm,0.51,0.79,-3.782,0.0,0.335,6.23e-05,0.316,0.637,127.946
edm,0.53,0.612,-8.794,1.0,0.253,0.0,0.246,0.433,119.255
edm,0.645,0.844,-6.835,0.0,0.0118,0.873,0.0761,0.425,127.995
edm,0.662,0.586,-8.821,1.0,0.097,0.00272,0.115,0.296,90.0
edm,0.645,0.525,-5.399,0.0,0.0574,0.0,0.505,0.238,83.018
edm,0.608,0.798,-5.092,0.0,0.0736,0.0,0.156,0.5,92.946
edm,0.676,0.857,-6.7,1.0,0.00149,0.674,0.307,0.0378,128.01
edm,0.584,0.54,-7.786,0.0,0.0895,0.0,0.261,0.195,137.972
edm,0.753,0.657,-3.061,1.0,0.171,0.0,0.112,0.437,107.01
edm,0.452,0.465,-10.006,0.0,0.0589,0.000524,0.095,0.0832,149.586
edm,0.629,0.821,-4.743,0.0,0.0194,0.0176,0.0815,0.458,103.998
edm,0.787,0.734,-6.465,1.0,0.364,0.000995,0.0625,0.644,98.989
edm,0.568,0.622,-6.548,1.0,0.063,0.0018,0.56,0.109,76.984
edm,0.604,0.787,-3.674,0.0,0.0679,0.15,0.127,0.301,126.062
edm,0.579,0.736,-3.863,0.0,0.31,0.0,0.198,0.613,127.999
edm,0.682,0.836,-3.259,1.0,0.141,0.0383,0.0891,0.224,82.53
edm,0.675,0.817,-3.789,0.0,0.00711,0.0,0.0839,0.446,105.964
edm,0.67,0.896,-4.673,1.0,0.0342,3.21e-05,0.344,0.403,101.216
edm,0.658,0.791,-4.66,1.0,0.102,0.0,0.139,0.744,75.017
edm,0.715,0.605,-5.128,0.0,0.239,1.41e-05,0.189,0.454,122.956
edm,0.655,0.787,-3.031,1.0,0.122,3.11e-06,0.178,0.554,181.799
edm,0.609,0.801,-8.483,0.0,0.0246,0.00255,0.37,0.202,122.958
edm,0.534,0.714,-6.347,0.0,0.00633,0.0,0.0879,0.415,125.99
edm,0.718,0.666,-6.624,0.0,0.158,0.103,0.129,0.702,100.002
edm,0.635,0.813,-5.098,0.0,0.0187,0.0,0.163,0.641,123.065
edm,0.57,0.672,-5.888,0.0,0.172,1.04e-06,0.0768,0.461,120.018
edm,0.572,0.75,-5.042,0.0,0.0946,0.0,0.378,0.475,144.081
edm,0.538,0.642,-4.412,1.0,0.104,0.0,0.112,0.47,161.803
edm,0.717,0.73,-4.729,0.0,0.383,0.0,0.398,0.792,102.002
edm,0.271,0.648,-5.664,1.0,0.248,0.0,0.121,0.261,189.218
edm,0.59,0.724,-3.278,1.0,0.04,4.07e-05,0.142,0.526,127.05
edm,0.51,0.816,-5.331,0.0,0.13,8.66e-06,0.224,0.588,149.929
edm,0.681,0.802,-5.836,0.0,0.0271,0.0496,0.127,0.791,120.053
edm,0.66,0.804,-6.133,0.0,0.0402,0.0,0.129,0.359,109.0
