Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
rock,0.714,0.937,-2.947,1,0.206,0,0.0731,0.964,124.13
rock,0.479,0.601,-8.806,1,0.0832,0.00142,0.11,0.669,124.966
rock,0.451,0.818,-8.124,1,0.135,0.0000292,0.052,0.755,124.532
rock,0.506,0.554,-6.743,0,0.339,0.000355,0.112,0.375,124.724
rock,0.466,0.648,-11.101,0,0.0023,0.0000149,0.112,0.305,90.435
rock,0.466,0.833,-4.215,1,0.0266,0,0.0327,0.661,88.785
rock,0.404,0.902,-3.88,1,0.577,0.297,0.287,0.497,115.669
rock,0.567,0.159,-13.648,1,0.914,0,0.111,0.436,146.913
rock,0.464,0.795,-9.267,1,0.0493,0.00244,0.399,0.612,158.691
rock,0.758,0.831,-5.157,1,0.0854,0.0000144,0.101,0.958,118.758
rock,0.567,0.559,-10.175,1,0.00888,0.00131,0.0764,0.898,127.227
rock,0.329,0.974,-8.77,0,0.000852,0.000118,0.0904,0.234,140.862
rock,0.637,0.107,-18.759,1,0.911,0.00146,0.103,0.296,82.879
rock,0.356,0.872,-7.837,1,0.00417,0.00975,0.0997,0.607,166.3
rock,0.768,0.852,-6.215,1,0.214,0.0000736,0.0723,0.867,128.373
rock,0.728,0.878,-6.926,0,0.176,0.856,0.61,0.911,126.59
rock,0.541,0.459,-10.433,0,0.189,0.0274,0.099,0.803,171.165
rock,0.523,0.758,-9.81,1,0.133,0,0.0952,0.766,135.437
rock,0.408,0.48,-11.017,1,0.155,0.0000182,0.0877,0.19,156.344
rock,0.278,0.961,-3.845,1,0.00000736,0.000662,0.0268,0.752,189.664
rock,0.508,0.887,-12.377,0,0.0099,0.392,0.345,0.724,122.655
rock,0.519,0.441,-14.178,1,0.0204,0.000453,0.076,0.25,81.334
rock,0.702,0.578,-13.415,1,0.382,0.00000589,0.0425,0.975,111.617
rock,0.593,0.205,-14.601,1,0.896,0.0000546,0.119,0.377,140.279
rock,0.195,0.483,-4.991,0,0.465,0.497,0.0686,0.173,84.71
rock,0.785,0.479,-11.321,1,0.00604,0.00000252,0.122,0.784,119.937
rock,0.502,0.924,-6.299,1,0.0127,0,0.162,0.922,149.186
rock,0.61,0.891,-5.452,0,0.000805,0.0928,0.0657,0.51,139.903
rock,0.361,0.98,-3.635,0,0.00141,0.00268,0.294,0.238,179.138
rock,0.585,0.881,-4.719,0,0.0000227,0.000939,0.376,0.425,107.028
rock,0.298,0.799,-6.962,0,0.000168,0.0000942,0.496,0.561,143.072
rock,0.295,0.584,-6.696,0,0.000385,0.218,0.0996,0.228,117.2
rock,0.741,0.58,-9.05,1,0.117,0.0000331,0.212,0.944,127.402
rock,0.43,0.704,-8.008,0,0.000155,0.00221,0.0933,0.703,118.242
rock,0.442,0.939,-5.461,1,0.000673,0.00149,0.117,0.479,100.561
rock,0.385,0.783,-2.533,1,0.000269,0.47,0.108,0.902,176.701
rock,0.511,0.308,-15.021,1,0.408,0.000022,0.15,0.377,83.546
rock,0.354,0.318,-9.974,1,0.343,0.0389,0.113,0.281,81.854
rock,0.384,0.535,-9.939,1,0.238,0.00045,0.0533,0.232,132.445
rock,0.547,0.257,-12.358,1,0.907,0.183,0.0935,0.169,75.752
rock,0.503,0.96,-2.672,1,0.0000925,0.578,0.274,0.489,162.022
rock,0.427,0.626,-11.821,1,0.0274,0.00395,0.106,0.743,126.877
rock,0.623,0.876,-7.788,1,0.0189,0.0134,0.0728,0.515,124.431
rock,0.658,0.814,-4.631,1,0.229,0.00676,0.216,0.69,108.016
rock,0.723,0.541,-14.021,1,0.028,0.00339,0.133,0.607,131.675
rock,0.388,0.338,-10.054,1,0.652,0.00000373,0.248,0.478,177.765
rock,0.515,0.766,-12.768,1,0.0249,0.00103,0.455,0.774,146.911
rock,0.741,0.697,-7.028,1,0.0664,0.0000228,0.133,0.774,116.109
rock,0.485,0.328,-11.853,1,0.00596,0.0032,0.325,0.138,79.766
rock,0.531,0.818,-5.358,1,0.0694,0.0096,0.263,0.471,90.767
rock,0.664,0.613,-7.56,1,0.00309,0.000128,0.175,0.193,96.6
rock,0.551,0.293,-12.503,1,0.486,0.000273,0.0864,0.322,106.798
rock,0.525,0.742,-5.643,1,0.0874,0.149,0.117,0.179,117.029
rock,0.366,0.869,-3.316,0,0.0207,0,0.254,0.384,138.051
rock,0.24,0.615,-14.117,1,0.171,0.0125,0.0801,0.768,166.657
rock,0.628,0.934,-6.026,1,0.00682,0.0000111,0.0852,0.491,126.538
rock,0.454,0.91,-7.766,1,0.0866,0.0996,0.116,0.629,125.116
rock,0.373,0.567,-10.835,1,0.0236,0.00000347,0.0916,0.298,137.789
rock,0.622,0.239,-18.982,0,0.859,0.051,0.109,0.737,79.674
rock,0.31,0.7,-5.678,1,0.011,0.00965,0.0828,0.763,188.386
rock,0.228,0.872,-5.479,0,0.00672,0,0.242,0.278,91.724
rock,0.579,0.508,-9.484,1,0.00574,0.000494,0.0575,0.609,147.125
rock,0.654,0.611,-10.45,1,0.0337,0.000178,0.405,0.786,85.387
rock,0.654,0.81,-6.26,0,0.00719,0.00251,0.165,0.661,114.623
rock,0.491,0.942,-5.333,1,0.156,0,0.367,0.387,100.446
rock,0.516,0.513,-10.762,1,0.159,0.00957,0.0612,0.694,99.735
rock,0.721,0.521,-8.123,1,0.0708,0.00545,0.127,0.942,123.118
rock,0.696,0.78,-12.159,1,0.0427,0.149,0.298,0.954,98.699
rock,0.314,0.797,-9.026,1,0.0057,0.0000559,0.0718,0.569,145.393
rock,0.467,0.958,-4.808,0,0.000479,0.199,0.299,0.701,145.92
rock,0.678,0.746,-6.337,1,0.000994,0.000293,0.061,0.431,116.98
rock,0.575,0.318,-16.729,1,0.683,0.000202,0.0934,0.385,104.522
rock,0.523,0.941,-4.444,0,0.0878,0.148,0.106,0.145,120.67
rock,0.277,0.663,-8.821,0,0.000409,0.00051,0.136,0.527,104.561
rock,0.267,0.81,-6.189,1,0.00019,0.018,0.084,0.267,127.673
rock,0.356,0.917,-6.006,1,0.0335,0,0.406,0.518,171.176
rock,0.477,0.479,-11.887,0,0.0649,0.029,0.0906,0.662,122.531
rock,0.578,0.836,-6.607,1,0.163,0.00000136,0.0583,0.932,167.026
rock,0.541,0.571,-10.745,0,0.127,0.00000383,0.275,0.666,117.067
rock,0.652,0.94,-7.927,1,0.0398,0.782,0.0567,0.72,91.242
rock,0.733,0.794,-10.023,1,0.0614,0.0367,0.33,0.931,148.174
rock,0.451,0.939,-2.82,0,0.00673,0.00000485,0.0774,0.448,93.416
rock,0.5,0.846,-8.098,1,0.0797,0,0.241,0.738,134.937
rock,0.298,0.612,-9.002,0,0.0194,0.0000967,0.0906,0.343,156.727
rock,0.533,0.637,-5.571,1,0.16,0.0000112,0.369,0.292,140.167
rock,0.572,0.214,-15.625,1,0.649,0.129,0.125,0.485,95.542
rock,0.5,0.748,-9.072,1,0.127,0,0.447,0.514,118.852
rock,0.273,0.821,-6.262,1,0.00153,0.0157,0.18,0.739,179.882
rock,0.489,0.769,-3.524,1,0.00135,0.56,0.0727,0.637,128.985
rock,0.611,0.853,-4.983,1,0.0219,0,0.671,0.376,135.558
rock,0.684,0.851,-9.792,1,0.000613,0.0029,0.535,0.512,112.662
rock,0.366,0.894,-4.682,0,0.0000345,0.17,0.267,0.304,82.305
rock,0.486,0.449,-10.298,1,0.166,0.00000223,0.54,0.549,100.456
rock,0.653,0.666,-7.808,1,0.0508,0.0466,0.139,0.765,128.505
rock,0.567,0.714,-8.512,0,0.0012,0.417,0.186,0.191,107.441
rock,0.406,0.713,-5.49,1,0.276,0.00354,0.112,0.577,164.444
rock,0.642,0.628,-12.849,1,0.334,0.00000829,0.614,0.893,103.317
rock,0.285,0.908,-4.601,0,0.0318,0.00909,0.311,0.669,159.756
rock,0.463,0.749,-8.118,0,0.00796,0.00219,0.0558,0.888,183.048
rock,0.438,0.905,-6.161,1,0.00000944,0.000054,0.363,0.723,134.163
